Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total,Festival,DayofWeek,PCR_GDP_GR,HK_GDP_GR,PCR_CPI_GR,HK_CPI_GR,Weather
12/30/2019,Hong Kong-Zhuhai-Macao Bridge,Arrival,18713,2268,3760,24741,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Hong Kong-Zhuhai-Macao Bridge,Departure,15315,3596,4501,23412,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Lok Ma Chau,Arrival,25832,8104,599,34535,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Lok Ma Chau,Departure,20952,5759,524,27235,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Man Kam To,Arrival,2256,1712,12,3980,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Man Kam To,Departure,1867,1061,12,2940,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Sha Tau Kok,Arrival,2373,653,66,3092,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Sha Tau Kok,Departure,2283,521,69,2873,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Shenzhen Bay,Arrival,36863,13269,1294,51426,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Shenzhen Bay,Departure,26718,12663,1011,40392,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,China Ferry Terminal,Arrival,3032,977,1338,5347,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,China Ferry Terminal,Departure,2359,902,1093,4354,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Harbour Control,Arrival,0,0,40,40,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Harbour Control,Departure,1,0,1,2,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Kai Tak Cruise Terminal,Arrival,555,57,2867,3479,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
12/30/2019,Kai Tak Cruise Terminal,Departure,486,59,26,571,FALSE,2,0.1023,0.0346,-0.004,0.0074,4. Heavy Rain
