Date,Season,Week,Festive Period,Control Point,Arrival/Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
12/25/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Departure,877,116,13,1006
12/25/2019,Q4,5,L+A,Macau Ferry Terminal,Arrival,10364,467,1531,12362
12/25/2019,Q4,5,L+A,Macau Ferry Terminal,Departure,16498,507,1940,18945
12/25/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Arrival,827,5,11,843
12/25/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Departure,1135,10,41,1186
12/26/2019,Q4,5,L+A,Airport,Arrival,47191,4930,18714,70835
12/26/2019,Q4,5,L+A,Airport,Departure,44335,3702,15898,63935
12/26/2019,Q4,5,L+A,Express Rail Link West Kowloon,Arrival,20703,5179,558,26440
12/26/2019,Q4,5,L+A,Express Rail Link West Kowloon,Departure,12172,4967,706,17845
12/26/2019,Q4,5,L+A,Hung Hom,Arrival,2123,424,99,2646
12/26/2019,Q4,5,L+A,Hung Hom,Departure,1212,352,78,1642
12/26/2019,Q4,5,L+A,Lo Wu,Arrival,127800,15591,942,144333
12/26/2019,Q4,5,L+A,Lo Wu,Departure,74553,16564,958,92075
12/26/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Arrival,63499,12940,367,76806
12/26/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Departure,41502,12009,306,53817
12/26/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Arrival,44041,2555,3033,49629
12/26/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Departure,24603,3303,4483,32389
12/26/2019,Q4,5,L+A,Lok Ma Chau,Arrival,33190,4136,664,37990
12/26/2019,Q4,5,L+A,Lok Ma Chau,Departure,19241,3904,559,23704
12/26/2019,Q4,5,L+A,Man Kam To,Arrival,2232,1350,31,3613
12/26/2019,Q4,5,L+A,Man Kam To,Departure,1588,873,14,2475
12/26/2019,Q4,5,L+A,Sha Tau Kok,Arrival,3462,529,63,4054
12/26/2019,Q4,5,L+A,Sha Tau Kok,Departure,2089,423,63,2575
12/26/2019,Q4,5,L+A,Shenzhen Bay,Arrival,60585,9914,896,71395
12/26/2019,Q4,5,L+A,Shenzhen Bay,Departure,28698,9537,775,39010
12/26/2019,Q4,5,L+A,China Ferry Terminal,Arrival,5799,522,650,6971
12/26/2019,Q4,5,L+A,China Ferry Terminal,Departure,3193,705,961,4859
12/26/2019,Q4,5,L+A,Harbour Control,Arrival,0,0,38,38
12/26/2019,Q4,5,L+A,Harbour Control,Departure,0,0,1,1
12/26/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Arrival,2306,116,35,2457
12/26/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Departure,721,97,43,861
12/26/2019,Q4,5,L+A,Macau Ferry Terminal,Arrival,17409,479,1761,19649
12/26/2019,Q4,5,L+A,Macau Ferry Terminal,Departure,10869,512,2194,13575
12/26/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Arrival,1328,14,18,1360
12/26/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Departure,796,7,20,823
12/27/2019,Q4,5,L+A,Airport,Arrival,45092,5647,18949,69688
12/27/2019,Q4,5,L+A,Airport,Departure,49396,4516,14751,68663
12/27/2019,Q4,5,L+A,Express Rail Link West Kowloon,Arrival,14835,8725,841,24401
12/27/2019,Q4,5,L+A,Express Rail Link West Kowloon,Departure,12321,7451,750,20522
12/27/2019,Q4,5,L+A,Hung Hom,Arrival,1542,543,146,2231
12/27/2019,Q4,5,L+A,Hung Hom,Departure,1649,489,118,2256
12/27/2019,Q4,5,L+A,Lo Wu,Arrival,85184,21214,1186,107584
12/27/2019,Q4,5,L+A,Lo Wu,Departure,79766,21496,1134,102396
12/27/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Arrival,46481,17890,568,64939
12/27/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Departure,41750,15756,445,57951
12/27/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Arrival,24533,2497,3201,30231
