Average Temperature(°F),Average wind speed(knots),Date,Lowest Temperature(°F),Max wind speed(knots),Highest Temperature(°F),Precipitation(in)
80.3,0.6,5/25/2020,78.1,1.7,81.7,0.02
81.7,3.2,5/26/2020,78.1,7.4,87.8,0.89
82.3,2.7,5/27/2020,78.8,5.8,88.7,0.16
80.6,2.7,5/28/2020,79.2,5.6,82.4,0.08
82.1,2.8,5/29/2020,78.3,4.3,85.1,0.02
78.1,1.9,5/30/2020,75.6,4.5,79.2,2.74
85.4,6.5,5/31/2020,82.4,11.8,89.1,2.85
86.2,6.2,6/1/2020,81.5,10.5,90.7,0.06
84.8,5.5,6/2/2020,80.8,8.5,87.8,0.02
85.9,7.8,6/3/2020,83.7,9.9,89.6,0.71
86.3,6.6,6/4/2020,80.6,11.3,90.5,0
84.1,6.9,6/5/2020,75.6,11.1,89.8,0.1
80,2.6,6/6/2020,76.1,7.4,83.7,0
81.1,2.1,6/8/2020,79,4.9,82.8,3.25
83.7,3.7,6/9/2020,80.1,10.3,88,2.26
85.8,4.4,6/10/2020,81.5,10.3,89.1,0.47
86,3.3,6/11/2020,80.6,7.8,91.8,0
85.8,2.1,6/12/2020,81.9,6.2,90.5,0
84.2,7.2,6/13/2020,80.8,10.9,88,0.04
81.3,3.2,6/14/2020,78.3,4.7,83.7,0.53
85.2,5.1,6/15/2020,82.6,8.7,89.6,0.77
82.6,4.1,6/16/2020,78.8,8.9,87.1,0
83.6,3.4,6/17/2020,79.2,8.7,87.8,0.14
85.6,5.5,6/18/2020,80.6,9.7,90.7,0.04
86.8,6,6/19/2020,83.3,8.4,91.4,0
86.5,7.8,6/20/2020,83.7,10.3,91.4,0
86.9,7.8,6/21/2020,84.4,9.9,90.9,0
87.1,7.5,6/22/2020,84.6,10.7,90.9,0.04
87,8.6,6/23/2020,84.4,10.9,90.5,0
86.9,8.2,6/24/2020,85.1,12,90.7,0
87.4,8.2,6/25/2020,85.5,12.8,90.9,0
87.1,8.1,6/26/2020,84.6,11.5,89.6,0
86.6,4.8,6/27/2020,82.4,8,90.5,0
86.3,4.7,6/28/2020,81.9,9.5,91.4,0.14
86.1,4.1,6/29/2020,82.8,7,91.8,0
87.2,3.2,6/30/2020,81.5,7.4,92.7,0
85.1,3.5,7/1/2020,81.5,5.8,89.6,0.18
85.5,3,7/2/2020,82.4,4.9,87.8,0.43
83.4,2.2,7/3/2020,81,8,90,0.73
86,3.2,7/4/2020,82.6,6.6,90.7,0.61
86.6,6.3,7/5/2020,84.2,9.5,90.5,0.16
86.7,7.2,7/6/2020,81.9,11.3,90.7,0
86.8,7.4,7/7/2020,84.6,10.1,90.7,0
86.1,10,7/8/2020,84.4,12.6,88.7,0
86.6,10.6,7/9/2020,85.1,13.6,89.6,0.04
86.8,7.5,7/10/2020,85.5,11.5,88.9,0
87.1,5.8,7/11/2020,84.2,8.4,90,0
87.4,4.5,7/12/2020,82.4,7.8,92.7,0
87.6,6.3,7/13/2020,84.4,9.7,91.8,0
88.6,6.8,7/14/2020,84.2,9.7,95.2,0
87.8,7.8,7/15/2020,84.2,10.7,93.6,0
87.2,6.6,7/16/2020,83.7,11.7,91.8,0
87.3,7.1,7/17/2020,85.1,10.1,91.8,0.28
87.8,6.2,7/18/2020,83.3,10.5,93.2,0
87.4,6.3,7/19/2020,83.5,12,91.8,0.06
86,3.1,7/20/2020,80.6,7,92.5,0.06
86.6,3.2,7/21/2020,82.4,6.6,92.3,0
85.7,2.8,7/22/2020,82.6,6.4,90.5,0.02
87.9,4.3,7/23/2020,81.5,7.6,93.6,0
88.8,5.5,7/24/2020,84.4,9.1,94.1,0.02
88.2,6.9,7/25/2020,84.6,8.2,95.4,0
88.3,7.8,7/26/2020,84.6,11.1,95,0
87.2,6.3,7/27/2020,81.5,9.7,91.4,0
88.7,5.3,7/28/2020,83.3,9.9,94.5,0.14
87.5,3.6,7/29/2020,82.8,5.2,92.3,0.02
87.4,5.5,7/30/2020,84.2,8.5,94.3,0
82.4,5.8,7/31/2020,80.6,8.5,84.6,0.14
82.1,5,8/1/2020,79.9,6.8,84.6,2.89
81.5,3.4,8/2/2020,78.1,8.2,84.6,1.67
79.5,1.1,8/3/2020,78.1,3.1,82.8,1.46
82,1.8,8/4/2020,79.9,5.4,86.4,0.71
81.2,2.8,8/5/2020,76.5,5.1,87.3,0.37
84.8,3.2,8/6/2020,80.1,4.9,90.5,3.88
85.8,3.4,8/7/2020,83.3,6,90.5,0
85.6,2.9,8/8/2020,79.2,7.6,91.4,0
86.3,2.9,8/9/2020,80.1,5.2,90.7,0
86.5,2.9,8/10/2020,83.5,7,90.9,0
86.5,5.5,8/11/2020,80.6,8.5,90.5,0
81.6,1.9,8/12/2020,78.8,5.4,84.6,0.71
84.5,1.8,8/13/2020,79.7,5.8,90.9,0.3
85.3,2.4,8/14/2020,81,6,90.7,0
84.8,2.3,8/15/2020,79.9,5.8,89.6,0.12
80.4,1.5,8/16/2020,78.3,5.2,83.3,0.96
80.2,7.7,8/17/2020,78.1,11.8,83.7,0.2
81.3,2.7,8/18/2020,79.7,8.4,83.3,5.61
84.1,2.2,8/19/2020,80.1,4.7,87.1,0.49
84.7,2,8/20/2020,79.2,5.1,90.5,0
85.4,2.2,8/21/2020,80.1,5.2,90.5,0
86.7,3.3,8/22/2020,81.5,5.4,93.2,0
87.5,5.8,8/23/2020,82.8,10.7,93.4,0
88.1,8,8/24/2020,83.8,13,93.2,0.04
85,4.9,8/25/2020,80.6,11.8,91.4,0
83.3,3.9,8/26/2020,79.7,9.1,86,0.33
85.8,1.8,8/27/2020,79.9,3.7,92.7,0.12
86.6,2.9,8/28/2020,80.6,6,91.8,0
85.9,2.3,8/29/2020,82.4,4.9,90.9,0.02
85.8,2.1,8/30/2020,79.9,6,92.7,0
87.1,2.3,8/31/2020,80.8,8.2,95,0.02
87.3,2.4,9/1/2020,82.4,4.9,94.1,0
84.6,2.8,9/2/2020,79.7,9.7,93.4,0.02
84.8,2.1,9/3/2020,82.4,4.5,88.2,0.35
81.9,2.8,9/4/2020,77.4,4.9,85.3,0.04
83.3,1.6,9/5/2020,80.1,4.1,88,0.98
83.4,3.4,9/6/2020,77.9,5.8,89.1,0.31
79.9,1,9/7/2020,77.9,2.9,82.4,3.15
81.5,1.6,9/8/2020,79.2,5.2,86.2,0.67
83,3.4,9/9/2020,79.7,8.5,89.1,0.04
84.7,3,9/10/2020,81,8,90,0.06
81.5,2.9,9/11/2020,77.4,7.2,89.1,0.39
83.3,3.1,9/12/2020,78.8,4.3,88,3.5
83,2.6,9/13/2020,81,6.4,85.5,1.3
81.6,3.9,9/14/2020,78.8,9.5,83.3,0.53
85.6,3.7,9/15/2020,82.4,5.6,88.9,3.27
84,4.1,9/16/2020,80.8,7,89.1,0.12
82.9,3.7,9/17/2020,79.2,6.4,86,1.32
80.1,3.5,9/18/2020,77,11.5,84.2,1.24
84,1.8,9/19/2020,81,3.3,88.9,0.83
81.7,3.2,9/21/2020,79.2,5.8,85.1,0.08
83.1,3.8,9/22/2020,80.1,7.8,86.9,1.44
84,3.1,9/23/2020,79.7,7,89.8,0
81.7,2.4,9/24/2020,77.2,4.3,86.4,0
